mol_id,smiles,morpholine,benzene,train,A,B,A&~B,~A&B,A&B,~(A&B)
ZINC87434222,COCC[C@@H](C)C(=O)NCC1(CC(C)C)CCCC1,0,0,True,False,False,False,False,False,True
ZINC85210638,c1cnc2ncsc2c1,0,0,True,False,False,False,False,False,True
ZINC96333805,C=CC#C/C=C/C=C,0,0,True,False,False,False,False,False,True
ZINC59214729,N[C@@H]1CCOC[C@@H]1[NH3+],0,0,True,False,False,False,False,False,True
ZINC13284936,CSc1[nH]c2c(=S)n(C)c(=S)n(C)c2[nH+]1,0,0,True,False,False,False,False,False,True
ZINC34407284,FC1(F)OC(Cl)(Cl)[C@](F)(Cl)OC1(F)F,0,0,True,False,False,False,False,False,True
ZINC06360406,N=C(N)/[NH+]=C(/N)[S-],0,0,True,False,False,False,False,False,True
ZINC90627761,C#CCCCCCCCCCBr,0,0,True,False,False,False,False,False,True
ZINC95931642,N/N=C\SCCS(=O)(=O)[O-],0,0,True,False,False,False,False,False,True
ZINC36390457,c1c[n+]2cn1CCCC[n+]1ccn(c1)CCCC2,0,0,True,False,False,False,False,False,True
ZINC05368627,[O-][C@@H](C#C[C@@H](O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,0,0,True,False,False,False,False,False,True
ZINC01566329,CC#CS(=O)C#CC,0,0,True,False,False,False,False,False,True
ZINC04532534,[N-]=[N+]=NC[C@@H]1O[C@@H](O)[C@@H](O)[C@@H](N=[N+]=[N-])[C@@H]1O,0,0,True,False,False,False,False,False,True
ZINC25387049,N#CCc1c(C#N)c(N)nc(N(CCO)CCO)c1C#N,0,0,True,False,False,False,False,False,True
ZINC39439948,CC1=C(c2nc3c4c5c(sc4nc([O-])n3n2)CCCC5)C[C@@H](C)O1,0,0,True,False,False,False,False,False,True
ZINC01672989,CCC[NH2+]CCC,0,0,True,False,False,False,False,False,True
ZINC45028146,O=S1(=O)C=CC[C@H](Br)C=C1,0,0,True,False,False,False,False,False,True
ZINC04720905,C[C@]12S[C@]3(C)S[C@](C)(S1)S[C@](C)(S2)S3,0,0,True,False,False,False,False,False,True
