task_type,block_type,Technique,ATT AUROC,ATT tau
benzene,gcn,GradInput,0.7379015275052141,
benzene,gcn,GradInput,0.6745220237314034,
benzene,gcn,GradInput,0.7258202898889891,
benzene,gcn,GradInput,0.7224128147526411,
benzene,gcn,GradInput,0.6493448877669437,
benzene,gcn,GradInput,0.7769902323803826,
benzene,gcn,GradInput,0.7321413595791535,
benzene,gcn,GradInput,0.7392892967952451,
benzene,gcn,GradInput,0.6974879424523245,
benzene,gcn,GradInput,0.7723095612474699,
benzene,gcn,GradInput,0.7031741902886985,
benzene,gcn,GradInput,0.7363868980520597,
benzene,gcn,GradInput,0.6879507915700727,
benzene,gcn,GradInput,0.7068873130870035,
benzene,gcn,GradInput,0.7012494980842935,
benzene,gcn,GradInput,0.7367688748604069,
benzene,gcn,GradInput,0.7637041912744957,
benzene,gcn,GradInput,0.7533434223411003,
benzene,gcn,GradInput,0.7598775054972738,
benzene,gcn,GradInput,0.6678998302345682,
benzene,gcn,GradInput,0.6831789949415509,
benzene,gcn,SmoothGrad(GradInput),0.7278953356998091,
benzene,gcn,SmoothGrad(GradInput),0.6703078645906304,
benzene,gcn,SmoothGrad(GradInput),0.7086280577672047,
benzene,gcn,SmoothGrad(GradInput),0.6982327922124104,
benzene,gcn,SmoothGrad(GradInput),0.6197046355318057,
benzene,gcn,SmoothGrad(GradInput),0.7832979514855877,
benzene,gcn,SmoothGrad(GradInput),0.7237070035514165,
benzene,gcn,SmoothGrad(GradInput),0.741090000476682,
benzene,gcn,SmoothGrad(GradInput),0.6760959485338142,
benzene,gcn,SmoothGrad(GradInput),0.7618477541660805,
benzene,gcn,SmoothGrad(GradInput),0.7021563875356445,
benzene,gcn,SmoothGrad(GradInput),0.7015171615580829,
benzene,gcn,SmoothGrad(GradInput),0.6901984397960347,
benzene,gcn,SmoothGrad(GradInput),0.7184282072862798,
benzene,gcn,SmoothGrad(GradInput),0.7117723676315008,
benzene,gcn,SmoothGrad(GradInput),0.7330830308722036,
benzene,gcn,SmoothGrad(GradInput),0.7403167358839015,
benzene,gcn,SmoothGrad(GradInput),0.7443440524056278,
benzene,gcn,SmoothGrad(GradInput),0.7449839411967465,
benzene,gcn,SmoothGrad(GradInput),0.6473721618221961,
benzene,gcn,SmoothGrad(GradInput),0.6643886850221415,
benzene,gcn,GradCAM-last,0.7396863091707433,
benzene,gcn,GradCAM-last,0.7506383296363659,
benzene,gcn,GradCAM-last,0.7739062761239117,
benzene,gcn,GradCAM-last,0.7715185937271994,
benzene,gcn,GradCAM-last,0.7077617599216326,
benzene,gcn,GradCAM-last,0.7230373443174443,
benzene,gcn,GradCAM-last,0.7365393848506808,
benzene,gcn,GradCAM-last,0.706895661678191,
benzene,gcn,GradCAM-last,0.7572472145901942,
benzene,gcn,GradCAM-last,0.7667471508933209,
benzene,gcn,GradCAM-last,0.7323889175188482,
benzene,gcn,GradCAM-last,0.7751261241779818,
benzene,gcn,GradCAM-last,0.7012884094550474,
benzene,gcn,GradCAM-last,0.6802686661809756,
benzene,gcn,GradCAM-last,0.7108197604569867,
benzene,gcn,GradCAM-last,0.7305499738871771,
benzene,gcn,GradCAM-last,0.7682777133337562,
benzene,gcn,GradCAM-last,0.7100395711456656,
benzene,gcn,GradCAM-last,0.795248807584979,
benzene,gcn,GradCAM-last,0.6985088800290612,
benzene,gcn,GradCAM-last,0.7032273831078439,
benzene,gcn,GradCAM-all,0.7456487222956092,
benzene,gcn,GradCAM-all,0.740534108185682,
benzene,gcn,GradCAM-all,0.7806741534070681,
benzene,gcn,GradCAM-all,0.7870161652673693,
benzene,gcn,GradCAM-all,0.7489079931223893,
benzene,gcn,GradCAM-all,0.7678501171583959,
benzene,gcn,GradCAM-all,0.742665610297655,
benzene,gcn,GradCAM-all,0.7138048875917239,
benzene,gcn,GradCAM-all,0.7597017184267071,
benzene,gcn,GradCAM-all,0.7965903231023342,
benzene,gcn,GradCAM-all,0.7541805568313423,
benzene,gcn,GradCAM-all,0.7952149808337461,
benzene,gcn,GradCAM-all,0.7114760092298505,
benzene,gcn,GradCAM-all,0.7046607337623275,
benzene,gcn,GradCAM-all,0.7294120070775556,
benzene,gcn,GradCAM-all,0.7346823834149686,
benzene,gcn,GradCAM-all,0.8013180435647755,
benzene,gcn,GradCAM-all,0.7386680183659458,
benzene,gcn,GradCAM-all,0.8074877174644977,
benzene,gcn,GradCAM-all,0.7147843156690336,
benzene,gcn,GradCAM-all,0.7101094834300603,
benzene,gcn,IG,0.9920384507021648,
benzene,gcn,IG,0.9503081200921544,
benzene,gcn,IG,0.98344563026706,
benzene,gcn,IG,0.9903749997919246,
benzene,gcn,IG,0.9716732828187936,
benzene,gcn,IG,0.994061606645026,
benzene,gcn,IG,0.9428262145851872,
benzene,gcn,IG,0.9712774349977652,
benzene,gcn,IG,0.9735098082427804,
benzene,gcn,IG,0.967761179209121,
benzene,gcn,IG,0.9804680472060934,
benzene,gcn,IG,0.9493618845585364,
benzene,gcn,IG,0.9775540619298502,
benzene,gcn,IG,0.9828322918907428,
benzene,gcn,IG,0.9808798458530784,
benzene,gcn,IG,0.9926529131277368,
benzene,gcn,IG,0.97589569768864,
benzene,gcn,IG,0.9766432863863636,
benzene,gcn,IG,0.9536555872740082,
benzene,gcn,IG,0.9458491682162992,
benzene,gcn,IG,0.8923746225177397,
benzene,gcn,CAM,0.9802860358812228,
benzene,gcn,CAM,0.9869303472172982,
benzene,gcn,CAM,0.9775121935950682,
benzene,gcn,CAM,0.9774892082369724,
benzene,gcn,CAM,0.9889487667591528,
benzene,gcn,CAM,0.9879885383216424,
benzene,gcn,CAM,0.9731397142257422,
benzene,gcn,CAM,0.9739672970407691,
benzene,gcn,CAM,0.9871544966188642,
benzene,gcn,CAM,0.9863930842141484,
benzene,gcn,CAM,0.9834930436065628,
benzene,gcn,CAM,0.9770820564088252,
benzene,gcn,CAM,0.9897599729039646,
benzene,gcn,CAM,0.9898280250165068,
benzene,gcn,CAM,0.9870370943689658,
benzene,gcn,CAM,0.979360662562847,
benzene,gcn,CAM,0.9872015146794416,
benzene,gcn,CAM,0.9838409233624806,
benzene,gcn,CAM,0.9898650116775191,
benzene,gcn,CAM,0.985987489334726,
benzene,gcn,CAM,0.9769981215946416,
benzene,gcn,Random,0.6140666402835664,
benzene,mpnn,GradInput,0.5389325492167053,
benzene,mpnn,GradInput,0.5304096241730974,
benzene,mpnn,GradInput,0.4971750784329616,
benzene,mpnn,GradInput,0.5380188455961017,
benzene,mpnn,GradInput,0.5567287995697868,
benzene,mpnn,GradInput,0.5126951879453026,
benzene,mpnn,GradInput,0.5189258866512049,
benzene,mpnn,GradInput,0.5258350303340843,
benzene,mpnn,GradInput,0.5500108057025269,
benzene,mpnn,GradInput,0.5464699292522937,
benzene,mpnn,GradInput,0.5223273420819574,
benzene,mpnn,GradInput,0.5414414114732313,
benzene,mpnn,GradInput,0.5610417300821211,
benzene,mpnn,GradInput,0.5264531905979274,
benzene,mpnn,GradInput,0.6054032027383707,
benzene,mpnn,GradInput,0.5324580361144402,
benzene,mpnn,GradInput,0.5397781014288583,
benzene,mpnn,GradInput,0.5467355493302919,
benzene,mpnn,GradInput,0.5422410092374832,
benzene,mpnn,GradInput,0.5252581377159979,
benzene,mpnn,GradInput,0.5221345233044723,
benzene,mpnn,GradInput,0.5397454956942115,
benzene,mpnn,GradInput,0.5852740637815457,
benzene,mpnn,GradInput,0.5466091374846105,
benzene,mpnn,GradInput,0.5726405017013892,
benzene,mpnn,GradInput,0.5263309425646027,
benzene,mpnn,GradInput,0.5275324188254185,
benzene,mpnn,GradInput,0.5137761123326138,
benzene,mpnn,GradInput,0.5132909969451077,
benzene,mpnn,GradInput,0.5276804242526351,
benzene,mpnn,GradInput,0.523974418692341,
benzene,mpnn,GradInput,0.5674501179879003,
benzene,mpnn,GradInput,0.5721587242055078,
benzene,mpnn,GradInput,0.5188035226400953,
benzene,mpnn,GradInput,0.5253328078587509,
benzene,mpnn,GradInput,0.5238977694586282,
benzene,mpnn,GradInput,0.5328740391333558,
benzene,mpnn,GradInput,0.5185242315297641,
benzene,mpnn,SmoothGrad(GradInput),0.5257058248668298,
benzene,mpnn,SmoothGrad(GradInput),0.5255490018910212,
benzene,mpnn,SmoothGrad(GradInput),0.4876248693176224,
benzene,mpnn,SmoothGrad(GradInput),0.4805019010190436,
benzene,mpnn,SmoothGrad(GradInput),0.4953612706347485,
benzene,mpnn,SmoothGrad(GradInput),0.5421850088006491,
benzene,mpnn,SmoothGrad(GradInput),0.5194117478213338,
benzene,mpnn,SmoothGrad(GradInput),0.5424859600927424,
benzene,mpnn,SmoothGrad(GradInput),0.5622796052742446,
benzene,mpnn,SmoothGrad(GradInput),0.5603494566437464,
benzene,mpnn,SmoothGrad(GradInput),0.5372579906381937,
benzene,mpnn,SmoothGrad(GradInput),0.5488185783941718,
benzene,mpnn,SmoothGrad(GradInput),0.583624434487151,
benzene,mpnn,SmoothGrad(GradInput),0.5187302145363147,
benzene,mpnn,SmoothGrad(GradInput),0.5734360261483011,
benzene,mpnn,SmoothGrad(GradInput),0.5476244791223005,
benzene,mpnn,SmoothGrad(GradInput),0.5486531385684292,
benzene,mpnn,SmoothGrad(GradInput),0.5580625515357771,
benzene,mpnn,SmoothGrad(GradInput),0.5305498182791497,
benzene,mpnn,SmoothGrad(GradInput),0.531110035981897,
benzene,mpnn,SmoothGrad(GradInput),0.5265715192136331,
benzene,mpnn,SmoothGrad(GradInput),0.5564072980544716,
benzene,mpnn,SmoothGrad(GradInput),0.6113930315876767,
benzene,mpnn,SmoothGrad(GradInput),0.5752044070327524,
benzene,mpnn,SmoothGrad(GradInput),0.5730084616020862,
benzene,mpnn,SmoothGrad(GradInput),0.5475061689654339,
benzene,mpnn,SmoothGrad(GradInput),0.5374954447050537,
benzene,mpnn,SmoothGrad(GradInput),0.5224941158629957,
benzene,mpnn,SmoothGrad(GradInput),0.5321527941826647,
benzene,mpnn,SmoothGrad(GradInput),0.54199970847947,
benzene,mpnn,SmoothGrad(GradInput),0.5443368082668335,
benzene,mpnn,SmoothGrad(GradInput),0.5669671620447049,
benzene,mpnn,SmoothGrad(GradInput),0.5559496044434699,
benzene,mpnn,SmoothGrad(GradInput),0.5251268007948722,
benzene,mpnn,SmoothGrad(GradInput),0.5397856335786334,
benzene,mpnn,SmoothGrad(GradInput),0.5374927815442092,
benzene,mpnn,SmoothGrad(GradInput),0.5257468359791774,
benzene,mpnn,SmoothGrad(GradInput),0.5170868166684299,
benzene,mpnn,GradCAM-last,0.8218956610099398,
benzene,mpnn,GradCAM-last,0.833672170241371,
benzene,mpnn,GradCAM-last,0.8192855582574365,
benzene,mpnn,GradCAM-last,0.8116426056316837,
benzene,mpnn,GradCAM-last,0.7497481569091763,
benzene,mpnn,GradCAM-last,0.7772809393444928,
benzene,mpnn,GradCAM-last,0.7101261897280129,
benzene,mpnn,GradCAM-last,0.7445453534408356,
benzene,mpnn,GradCAM-last,0.7175941178793489,
benzene,mpnn,GradCAM-last,0.7237597364145352,
benzene,mpnn,GradCAM-last,0.7098671887864642,
benzene,mpnn,GradCAM-last,0.7135737890598285,
benzene,mpnn,GradCAM-last,0.7347708320038757,
benzene,mpnn,GradCAM-last,0.7274314932570866,
benzene,mpnn,GradCAM-last,0.734388305686322,
benzene,mpnn,GradCAM-last,0.7086891043468557,
benzene,mpnn,GradCAM-last,0.7025763178265758,
benzene,mpnn,GradCAM-last,0.7177981695519823,
benzene,mpnn,GradCAM-last,0.7209793247359897,
benzene,mpnn,GradCAM-last,0.7080351993456855,
benzene,mpnn,GradCAM-last,0.7233241603444991,
benzene,mpnn,GradCAM-last,0.7030669599629581,
benzene,mpnn,GradCAM-last,0.6791626364826829,
benzene,mpnn,GradCAM-last,0.7016766104192287,
benzene,mpnn,GradCAM-last,0.6895933989964922,
benzene,mpnn,GradCAM-last,0.7025032738983261,
benzene,mpnn,GradCAM-last,0.7073641586885481,
benzene,mpnn,GradCAM-last,0.6880586513560084,
benzene,mpnn,GradCAM-last,0.6813804611084167,
benzene,mpnn,GradCAM-last,0.7022332297084332,
benzene,mpnn,GradCAM-last,0.6890670718503679,
benzene,mpnn,GradCAM-last,0.6788140279322483,
benzene,mpnn,GradCAM-last,0.6694230301798241,
benzene,mpnn,GradCAM-last,0.7019289678012874,
benzene,mpnn,GradCAM-last,0.6822993074241498,
benzene,mpnn,GradCAM-last,0.6927122246357426,
benzene,mpnn,GradCAM-last,0.6716460727336774,
benzene,mpnn,GradCAM-last,0.6664708719319716,
benzene,mpnn,GradCAM-all,0.7804206853068796,
benzene,mpnn,GradCAM-all,0.722158978313519,
benzene,mpnn,GradCAM-all,0.7322594735153501,
benzene,mpnn,GradCAM-all,0.7181805060034334,
benzene,mpnn,GradCAM-all,0.6969861203600167,
benzene,mpnn,GradCAM-all,0.7198070458388942,
benzene,mpnn,GradCAM-all,0.6594367866121392,
benzene,mpnn,GradCAM-all,0.6843558811086904,
benzene,mpnn,GradCAM-all,0.6652364487102476,
benzene,mpnn,GradCAM-all,0.6870456287808082,
benzene,mpnn,GradCAM-all,0.7073382340911867,
benzene,mpnn,GradCAM-all,0.7380091953281669,
benzene,mpnn,GradCAM-all,0.6706282948227679,
benzene,mpnn,GradCAM-all,0.7154527033173403,
benzene,mpnn,GradCAM-all,0.6309525683106694,
benzene,mpnn,GradCAM-all,0.6969672005877716,
benzene,mpnn,GradCAM-all,0.6549518149522449,
benzene,mpnn,GradCAM-all,0.6924202345740874,
benzene,mpnn,GradCAM-all,0.6570648926711877,
benzene,mpnn,GradCAM-all,0.695835457725866,
benzene,mpnn,GradCAM-all,0.6844135418259659,
benzene,mpnn,GradCAM-all,0.6593054764265062,
benzene,mpnn,GradCAM-all,0.6543302785663897,
benzene,mpnn,GradCAM-all,0.6735574135284604,
benzene,mpnn,GradCAM-all,0.6815204636545366,
benzene,mpnn,GradCAM-all,0.6923624867402817,
benzene,mpnn,GradCAM-all,0.6664075288243962,
benzene,mpnn,GradCAM-all,0.6704246660018647,
benzene,mpnn,GradCAM-all,0.6792898909521143,
benzene,mpnn,GradCAM-all,0.6737027735025384,
benzene,mpnn,GradCAM-all,0.6696468458413762,
benzene,mpnn,GradCAM-all,0.6368612466601516,
benzene,mpnn,GradCAM-all,0.6116481862267896,
benzene,mpnn,GradCAM-all,0.6816408335275151,
benzene,mpnn,GradCAM-all,0.6721705488155724,
benzene,mpnn,GradCAM-all,0.6788420464107024,
benzene,mpnn,GradCAM-all,0.68783591371884,
benzene,mpnn,GradCAM-all,0.6829534617603646,
